English,Arabic,AB Revise Date,AB Revision Step,BA Revise Date,BA Revision Step
some flowers,زُهُور,18/06/2024 00:00,1,18/06/2024 00:00,1
egg,بَيْضَة,18/06/2024 00:00,1,18/06/2024 00:00,1
apples,تُفَّاح,18/06/2024 00:00,1,18/06/2024 00:00,1
she walked,مَشَتْ,18/06/2024 00:00,1,18/06/2024 00:00,1
problems,مَشَاكِل,18/06/2024 00:00,1,18/06/2024 00:00,1
when,إِيمْتَى,18/06/2024 00:00,1,18/06/2024 00:00,1
cups,فَنَاجِين,18/06/2024 00:00,1,18/06/2024 00:00,1
potato,بَطَاْطَاْيِة,18/06/2024 00:00,1,18/06/2024 00:00,1
I enter,بَدْخُل,18/06/2024 00:00,1,18/06/2024 00:00,1
answers,أَجْوِبَة,18/06/2024 00:00,1,18/06/2024 00:00,1
flower,زَهْرَة,18/06/2024 00:00,1,18/06/2024 00:00,1
coasts,سَوَاحِل,18/06/2024 00:00,1,18/06/2024 00:00,1
useful,مُفِيد,18/06/2024 00:00,1,18/06/2024 00:00,1
horses,أَحْصِنَة,18/06/2024 00:00,1,18/06/2024 00:00,1
envelopes,ظُرُوف,18/06/2024 00:00,1,18/06/2024 00:00,1
spices,بَهَارَات,18/06/2024 00:00,1,18/06/2024 00:00,1
spice,بَهَار,18/06/2024 00:00,1,18/06/2024 00:00,1
tissues,مَحْرِم,18/06/2024 00:00,1,18/06/2024 00:00,1
fingers,أَصَابِع,18/06/2024 00:00,1,18/06/2024 00:00,1
envelope,ظَرف,18/06/2024 00:00,1,18/06/2024 00:00,1
truck,شَاحِنَة,18/06/2024 00:00,1,18/06/2024 00:00,1
mushrooms,فُطْر,18/06/2024 00:00,1,18/06/2024 00:00,1
cup,فُنْجَان,18/06/2024 00:00,1,18/06/2024 00:00,1
tomato,بَنَدُورَة,18/06/2024 00:00,1,18/06/2024 00:00,1
I visit,بَزُور,18/06/2024 00:00,1,18/06/2024 00:00,1
wheat,قَمْح,18/06/2024 00:00,1,18/06/2024 00:00,1
strong,قَوِي,18/06/2024 00:00,1,18/06/2024 00:00,1
vegetables,خَضْرَاوَات,18/06/2024 00:00,1,18/06/2024 00:00,1
shallow,سَطْحِي,18/06/2024 00:00,1,18/06/2024 00:00,1
bear,دُبّ,18/06/2024 00:00,1,18/06/2024 00:00,1
tissue,مَحْرَمَة,18/06/2024 00:00,1,18/06/2024 00:00,1
dolphin,دُلْفِين,18/06/2024 00:00,1,18/06/2024 00:00,1
exits,مَخَارِج,18/06/2024 00:00,1,18/06/2024 00:00,1
vegetable,خُضْرَة,18/06/2024 00:00,1,18/06/2024 00:00,1
sparrows,عصَافِير,18/06/2024 00:00,1,18/06/2024 00:00,1
two cows,بَقَرَتَيْن,18/06/2024 00:00,1,18/06/2024 00:00,1
barley,شَعِير,18/06/2024 00:00,1,18/06/2024 00:00,1
some cows,بَقَرَات,18/06/2024 00:00,1,18/06/2024 00:00,1
sparrow,عُصْفُور,18/06/2024 00:00,1,18/06/2024 00:00,1
O Lord,يَارَب,18/06/2024 00:00,1,18/06/2024 00:00,1
ducks,بَطّ,18/06/2024 00:00,1,18/06/2024 00:00,1
bull,ثَوْر,18/06/2024 00:00,1,18/06/2024 00:00,1
I lost,خَسِرْتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
monkeys/apes,قُرُود,18/06/2024 00:00,1,18/06/2024 00:00,1
lines,خُطُوط,18/06/2024 00:00,1,18/06/2024 00:00,1
ruler,مِسْطَرَة,18/06/2024 00:00,1,18/06/2024 00:00,1
to lose,خَسِرَ,18/06/2024 00:00,1,18/06/2024 00:00,1
monkey/ape,قِرْد,18/06/2024 00:00,1,18/06/2024 00:00,1
bears,دِبَبَة,18/06/2024 00:00,1,18/06/2024 00:00,1
I lose,بَخسَر,18/06/2024 00:00,1,18/06/2024 00:00,1
driver,سَاىِٔق,18/06/2024 00:00,1,18/06/2024 00:00,1
to run,رَكَضَ,18/06/2024 00:00,1,18/06/2024 00:00,1
root/origin,مَصْدَر,18/06/2024 00:00,1,18/06/2024 00:00,1
joy,فَرحَة,18/06/2024 00:00,1,18/06/2024 00:00,1
elephant,فِيل,18/06/2024 00:00,1,18/06/2024 00:00,1
industrial,صِنَاعِيّ,18/06/2024 00:00,1,18/06/2024 00:00,1
goat,مَاعِز,18/06/2024 00:00,1,18/06/2024 00:00,1
to arrive/to connect,وَصَلَ,18/06/2024 00:00,1,18/06/2024 00:00,1
I hurried,عَجِلْتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
pencil,قَلَم رَصَاص,18/06/2024 00:00,1,18/06/2024 00:00,1
elephants,أَفْيَال,18/06/2024 00:00,1,18/06/2024 00:00,1
bulls,ثِيرَان,18/06/2024 00:00,1,18/06/2024 00:00,1
whose,لَمِين,18/06/2024 00:00,1,18/06/2024 00:00,1
child,طِفْل,18/06/2024 00:00,1,18/06/2024 00:00,1
napkin,مَنْدِيل,18/06/2024 00:00,1,18/06/2024 00:00,1
mushroom,فُطْرَة,18/06/2024 00:00,1,18/06/2024 00:00,1
goats,مَوَاعِز,18/06/2024 00:00,1,18/06/2024 00:00,1
napkins,مَنَادِيل,18/06/2024 00:00,1,18/06/2024 00:00,1
I exited/went up,طَلَعْتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
wounds,جُرُوح,18/06/2024 00:00,1,18/06/2024 00:00,1
bridges,جُسُور,18/06/2024 00:00,1,18/06/2024 00:00,1
kind,لَطيف,18/06/2024 00:00,1,18/06/2024 00:00,1
I will paint,رَح أَرْسُم,18/06/2024 00:00,1,18/06/2024 00:00,1
worm,دُودَة,18/06/2024 00:00,1,18/06/2024 00:00,1
forest,غَابَة,18/06/2024 00:00,1,18/06/2024 00:00,1
culture,ثَقَافَة,18/06/2024 00:00,1,18/06/2024 00:00,1
arrive safely,تُوصِل بَالسَلَامَة,18/06/2024 00:00,1,18/06/2024 00:00,1
I will hurry,رَح أَعْجَلُ,18/06/2024 00:00,1,18/06/2024 00:00,1
queues,طَوَابِير,18/06/2024 00:00,1,18/06/2024 00:00,1
you're welcome/excuse me/sorry,عَفْوًا,18/06/2024 00:00,1,18/06/2024 00:00,1
deep,عَمِيْق,18/06/2024 00:00,1,18/06/2024 00:00,1
will (distant/MSA),سَوْفَ,18/06/2024 00:00,1,18/06/2024 00:00,1
ponds,بِرَك,18/06/2024 00:00,1,18/06/2024 00:00,1
allowed,مَسْمُوح,18/06/2024 00:00,1,18/06/2024 00:00,1
lions,أُسُود,18/06/2024 00:00,1,18/06/2024 00:00,1
permission,إِذِن,18/06/2024 00:00,1,18/06/2024 00:00,1
sleepy,نَعٔسَان,18/06/2024 00:00,1,18/06/2024 00:00,1
angry,غَاضِب,18/06/2024 00:00,1,18/06/2024 00:00,1
a little,شوَيّ,18/06/2024 00:00,1,18/06/2024 00:00,1
I exit (MSA),أَخْرُجُ,18/06/2024 00:00,1,18/06/2024 00:00,1
death,مَوْتَة,18/06/2024 00:00,1,18/06/2024 00:00,1
You knew (f),عَرَفْتِ,18/06/2024 00:00,1,18/06/2024 00:00,1
they want,بِدهُم,18/06/2024 00:00,1,18/06/2024 00:00,1
apple,تُفَّاحَة,18/06/2024 00:00,1,18/06/2024 00:00,1
reasonable/logical,مَعْقُول,18/06/2024 00:00,1,18/06/2024 00:00,1
I will exit/go up,رَح أَطْلُعُ,18/06/2024 00:00,1,18/06/2024 00:00,1
where to,لَوَين,18/06/2024 00:00,1,18/06/2024 00:00,1
light (weight),خَفِيف,18/06/2024 00:00,1,18/06/2024 00:00,1
heavy,ثَقِيل,18/06/2024 00:00,1,18/06/2024 00:00,1
potatoes,بَطَاطَا,18/06/2024 00:00,1,18/06/2024 00:00,1
free,مَجَّانِيّ,18/06/2024 00:00,1,18/06/2024 00:00,1
other than/un-/not- (MSA),غَيْر,18/06/2024 00:00,1,18/06/2024 00:00,1
to hurry,عَجِلَ,18/06/2024 00:00,1,18/06/2024 00:00,1
lion,أَسَد,18/06/2024 00:00,1,18/06/2024 00:00,1
gorilla,غُورِيلَّا,18/06/2024 00:00,1,18/06/2024 00:00,1
I drive (MSA),أَقُودُ,18/06/2024 00:00,1,18/06/2024 00:00,1
reality,وَاقِع,18/06/2024 00:00,1,18/06/2024 00:00,1
chef,طَبَّاخ,18/06/2024 00:00,1,18/06/2024 00:00,1
clear/distinct/obvious,وَاضِح,18/06/2024 00:00,1,18/06/2024 00:00,1
seed,بِزْرَة,18/06/2024 00:00,1,18/06/2024 00:00,1
carrots,جَزَر,18/06/2024 00:00,1,18/06/2024 00:00,1
impossible,مُسْتَحِيل,18/06/2024 00:00,1,18/06/2024 00:00,1
tables,طَاوِلَات,18/06/2024 00:00,1,18/06/2024 00:00,1
fava beans,فُول,18/06/2024 00:00,1,18/06/2024 00:00,1
capital city,عَاصِمَة,18/06/2024 00:00,1,18/06/2024 00:00,1
onions,بَصَل,18/06/2024 00:00,1,18/06/2024 00:00,1
queue,طَابُور,18/06/2024 00:00,1,18/06/2024 00:00,1
hope,أَمَل,18/06/2024 00:00,1,18/06/2024 00:00,1
immortality,خُلُود,18/06/2024 00:00,1,18/06/2024 00:00,1
fort,حِصْن,18/06/2024 00:00,1,18/06/2024 00:00,1
you studied (m),دَرَسْتَ,18/06/2024 00:00,1,18/06/2024 00:00,1
watermelon,بَطَّيخَة,18/06/2024 00:00,1,18/06/2024 00:00,1
congrats,مَبْرُوك,18/06/2024 00:00,1,18/06/2024 00:00,1
now,هَلَّأ,18/06/2024 00:00,1,18/06/2024 00:00,1
it is cold,بَرْد,18/06/2024 00:00,1,18/06/2024 00:00,1
it's stressful,بيوَتِر,18/06/2024 00:00,1,18/06/2024 00:00,1
banana,مَوْزَة,18/06/2024 00:00,1,18/06/2024 00:00,1
fava bean,فُولَة,18/06/2024 00:00,1,18/06/2024 00:00,1
accountant,مُحَاسِب,18/06/2024 00:00,1,18/06/2024 00:00,1
noon,ظِهِر,18/06/2024 00:00,1,18/06/2024 00:00,1
queen,مَلِكَة,18/06/2024 00:00,1,18/06/2024 00:00,1
market,سُوق,18/06/2024 00:00,1,18/06/2024 00:00,1
drive,سِوَاقَة,18/06/2024 00:00,1,18/06/2024 00:00,1
I will cook (MSA),سَأَطْبُخُ,18/06/2024 00:00,1,18/06/2024 00:00,1
Mexican,مَكْسِيكِيّ,18/06/2024 00:00,1,18/06/2024 00:00,1
horse,حِصَان,18/06/2024 00:00,1,18/06/2024 00:00,1
Austrian,نَمْسَاوِيّ,18/06/2024 00:00,1,18/06/2024 00:00,1
brother,أَخ,18/06/2024 00:00,1,18/06/2024 00:00,1
congratulations (after shower/haircut/shave),نَعِيماً,18/06/2024 00:00,1,18/06/2024 00:00,1
queens,مَلِكَات,18/06/2024 00:00,1,18/06/2024 00:00,1
my brother,يَأَخِي,18/06/2024 00:00,1,18/06/2024 00:00,1
I am swimming,عَم بَسْبَح,18/06/2024 00:00,1,18/06/2024 00:00,1
problem,مُشْكِلَة,18/06/2024 00:00,1,18/06/2024 00:00,1
The United States,الْوِلَايَات الْمُتَّحِدَة,18/06/2024 00:00,1,18/06/2024 00:00,1
how much,قَدِّيش,18/06/2024 00:00,1,18/06/2024 00:00,1
MSA,الفُصْحَى,18/06/2024 00:00,1,18/06/2024 00:00,1
lemons,لَيْمُون,18/06/2024 00:00,1,18/06/2024 00:00,1
my life,حَيَاتِي,18/06/2024 00:00,1,18/06/2024 00:00,1
gold,ذَهَب,18/06/2024 00:00,1,18/06/2024 00:00,1
different,مِخْتِلِف,18/06/2024 00:00,1,18/06/2024 00:00,1
airport,مَطَار,18/06/2024 00:00,1,18/06/2024 00:00,1
first (m),أَوَّل,18/06/2024 00:00,1,18/06/2024 00:00,1
coast,سَاحِل,18/06/2024 00:00,1,18/06/2024 00:00,1
above,فَوق,18/06/2024 00:00,1,18/06/2024 00:00,1
me too,و انا كَمَان,18/06/2024 00:00,1,18/06/2024 00:00,1
one (f),وَاحِدَة,18/06/2024 00:00,1,18/06/2024 00:00,1
cultures,ثَقَافَات,18/06/2024 00:00,1,18/06/2024 00:00,1
thank God for your safety (said when someone,الحَمِدَ لله علسَلَامَة,18/06/2024 00:00,1,18/06/2024 00:00,1
I study,بِدرُس,18/06/2024 00:00,1,18/06/2024 00:00,1
dolphins,دَلَافِين,18/06/2024 00:00,1,18/06/2024 00:00,1
dinosaurs,دِينَاصَوْرَات,18/06/2024 00:00,1,18/06/2024 00:00,1
gorillas,غُورِيلَّات,18/06/2024 00:00,1,18/06/2024 00:00,1
dinosaur,دِيناصُور,18/06/2024 00:00,1,18/06/2024 00:00,1
two (f),اِثْنَتَانِ,18/06/2024 00:00,1,18/06/2024 00:00,1
cows,بَقَر,18/06/2024 00:00,1,18/06/2024 00:00,1
which (f),أَنِي,18/06/2024 00:00,1,18/06/2024 00:00,1
under,تَحْت,18/06/2024 00:00,1,18/06/2024 00:00,1
pilots (m),طَيَّارِين,18/06/2024 00:00,1,18/06/2024 00:00,1
onion,بَصَلَة,18/06/2024 00:00,1,18/06/2024 00:00,1
to dance,رَقَصَ,18/06/2024 00:00,1,18/06/2024 00:00,1
we,نحنا,18/06/2024 00:00,1,18/06/2024 00:00,1
store,مَحَّلْ,18/06/2024 00:00,1,18/06/2024 00:00,1
Chinese (m/pl),صِينِيُّونَ,18/06/2024 00:00,1,18/06/2024 00:00,1
state,وِلَايَة,18/06/2024 00:00,1,18/06/2024 00:00,1
windy,عاصف,18/06/2024 00:00,1,18/06/2024 00:00,1
their school,مَدْرَسَتهُم,18/06/2024 00:00,1,18/06/2024 00:00,1
I drove (MSA),قُدْتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
necessary,ضَرُوْرِي,18/06/2024 00:00,1,18/06/2024 00:00,1
eggs,بَيْض,18/06/2024 00:00,1,18/06/2024 00:00,1
sour,حَامِض,18/06/2024 00:00,1,18/06/2024 00:00,1
years,سِنِين,18/06/2024 00:00,1,18/06/2024 00:00,1
king,مَلِك,18/06/2024 00:00,1,18/06/2024 00:00,1
soft,طَرِي,18/06/2024 00:00,1,18/06/2024 00:00,1
to lift,رَفَعَ,18/06/2024 00:00,1,18/06/2024 00:00,1
places,أَمَاكِن,18/06/2024 00:00,1,18/06/2024 00:00,1
colleague (f),زَمِيلَة,18/06/2024 00:00,1,18/06/2024 00:00,1
you see (m)/she sees,تَشُوفُ,18/06/2024 00:00,1,18/06/2024 00:00,1
hospitals,مُسْتَشْفَيَات,18/06/2024 00:00,1,18/06/2024 00:00,1
weather/atmosphere,جَوَ,18/06/2024 00:00,1,18/06/2024 00:00,1
easy,سَهِل,18/06/2024 00:00,1,18/06/2024 00:00,1
edge,حافة,18/06/2024 00:00,1,18/06/2024 00:00,1
seconds,ثَوَانِي,18/06/2024 00:00,1,18/06/2024 00:00,1
beds,أَسِرَّة,18/06/2024 00:00,1,18/06/2024 00:00,1
how many,كَمْ,18/06/2024 00:00,1,18/06/2024 00:00,1
safety,سَلَامَة,18/06/2024 00:00,1,18/06/2024 00:00,1
cow,بَقَرَة,18/06/2024 00:00,1,18/06/2024 00:00,1
chicken,دَجَاجَة,18/06/2024 00:00,1,18/06/2024 00:00,1
line,خَطّ,18/06/2024 00:00,1,18/06/2024 00:00,1
duck,بَطَّة,18/06/2024 00:00,1,18/06/2024 00:00,1
orange,بُرْتُقَالَة,18/06/2024 00:00,1,18/06/2024 00:00,1
burnt,احرق,18/06/2024 00:00,1,18/06/2024 00:00,1
nations,أُمَم,18/06/2024 00:00,1,18/06/2024 00:00,1
dirty,وَسِخ,18/06/2024 00:00,1,18/06/2024 00:00,1
week,أُسْبُوع,18/06/2024 00:00,1,18/06/2024 00:00,1
island,جَزِيرَة,18/06/2024 00:00,1,18/06/2024 00:00,1
why (MSA),لِمَاذَا,18/06/2024 00:00,1,18/06/2024 00:00,1
train,قِطَار,18/06/2024 00:00,1,18/06/2024 00:00,1
writing,كِتابَة,18/06/2024 00:00,1,18/06/2024 00:00,1
museum,مَتْحَف,18/06/2024 00:00,1,18/06/2024 00:00,1
ghosts,أَشْبَاح,18/06/2024 00:00,1,18/06/2024 00:00,1
milk,حليب,18/06/2024 00:00,1,18/06/2024 00:00,1
possible (can),مُمْكِن,18/06/2024 00:00,1,18/06/2024 00:00,1
I hoped,تَأَمَّلْتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
it makes the mind fly (mind-blowing),بطِير العَقْل,18/06/2024 00:00,1,18/06/2024 00:00,1
throats,حَنَاجِر,18/06/2024 00:00,1,18/06/2024 00:00,1
crown,تَاج,18/06/2024 00:00,1,18/06/2024 00:00,1
I hope,بَتَأَمَّل,18/06/2024 00:00,1,18/06/2024 00:00,1
writer,كَاتِب,18/06/2024 00:00,1,18/06/2024 00:00,1
apparently,الظَّاهِر,18/06/2024 00:00,1,18/06/2024 00:00,1
birds,طُيُور,18/06/2024 00:00,1,18/06/2024 00:00,1
hard,قَاسِي,18/06/2024 00:00,1,18/06/2024 00:00,1
berries,تُوت,18/06/2024 00:00,1,18/06/2024 00:00,1
who,مِين,18/06/2024 00:00,1,18/06/2024 00:00,1
oranges,بُرْتُقَال,18/06/2024 00:00,1,18/06/2024 00:00,1
ready,جاهِز,18/06/2024 00:00,1,18/06/2024 00:00,1
when (MSA),مَتَى,18/06/2024 00:00,1,18/06/2024 00:00,1
was -ing,كِنت عَم,18/06/2024 00:00,1,18/06/2024 00:00,1
dirt/filth,وَسَخ,18/06/2024 00:00,1,18/06/2024 00:00,1
I will focus,رَح أَرْكِزُ,18/06/2024 00:00,1,18/06/2024 00:00,1
angel,مَلَاك,18/06/2024 00:00,1,18/06/2024 00:00,1
why,لِيش,18/06/2024 00:00,1,18/06/2024 00:00,1
hundred,مِاْئَة,18/06/2024 00:00,1,18/06/2024 00:00,1
conversation,حَدِيث,18/06/2024 00:00,1,18/06/2024 00:00,1
Tuesday,الثَلاثاء,18/06/2024 00:00,1,18/06/2024 00:00,1
second (f),تَانِيَة,18/06/2024 00:00,1,18/06/2024 00:00,1
meals,وَجَبات,18/06/2024 00:00,1,18/06/2024 00:00,1
you ate (f),أَكَلْتِ,18/06/2024 00:00,1,18/06/2024 00:00,1
schools,مَدْرَسَات,18/06/2024 00:00,1,18/06/2024 00:00,1
air conditioner,مُكَيَّف,18/06/2024 00:00,1,18/06/2024 00:00,1
because,عَشَان,18/06/2024 00:00,1,18/06/2024 00:00,1
darkness,عَتَمَة,18/06/2024 00:00,1,18/06/2024 00:00,1
rulers,مَسَاطِر,18/06/2024 00:00,1,18/06/2024 00:00,1
Saturday,السَبْت,18/06/2024 00:00,1,18/06/2024 00:00,1
fourth,رَابِع,18/06/2024 00:00,1,18/06/2024 00:00,1
first (f),أُولَى,18/06/2024 00:00,1,18/06/2024 00:00,1
useless (MSA),غَيْر مُفِيد,18/06/2024 00:00,1,18/06/2024 00:00,1
angels,مَلَايكِة,18/06/2024 00:00,1,18/06/2024 00:00,1
he takes,ياخُذ,18/06/2024 00:00,1,18/06/2024 00:00,1
I was studying,كِنت عَم بِدرُس,18/06/2024 00:00,1,18/06/2024 00:00,1
picture,صُورَة,18/06/2024 00:00,1,18/06/2024 00:00,1
mind,عَقْل,18/06/2024 00:00,1,18/06/2024 00:00,1
paper,وَرَقَة,18/06/2024 00:00,1,18/06/2024 00:00,1
pictures,صُور,18/06/2024 00:00,1,18/06/2024 00:00,1
ignorant,جَاهِل,18/06/2024 00:00,1,18/06/2024 00:00,1
truth,حَقّ,18/06/2024 00:00,1,18/06/2024 00:00,1
nice,ظَرِيف,18/06/2024 00:00,1,18/06/2024 00:00,1
gardens/parks,حَدَائِق,18/06/2024 00:00,1,18/06/2024 00:00,1
our fault,ذَنْبنا,18/06/2024 00:00,1,18/06/2024 00:00,1
which,أَيّ,18/06/2024 00:00,1,18/06/2024 00:00,1
kings,مُلُوك,18/06/2024 00:00,1,18/06/2024 00:00,1
I feared,خِفْتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
fine/good,مْنِيح,18/06/2024 00:00,1,18/06/2024 00:00,1
associate/passing friend,صَاحِب,18/06/2024 00:00,1,18/06/2024 00:00,1
stone,حَجَر,18/06/2024 00:00,1,18/06/2024 00:00,1
where,وَين,18/06/2024 00:00,1,18/06/2024 00:00,1
capital cities,عَوَاصِمْ,18/06/2024 00:00,1,18/06/2024 00:00,1
to exit/to go up,طَلَعَ,18/06/2024 00:00,1,18/06/2024 00:00,1
I paint,بَرْسُم,18/06/2024 00:00,1,18/06/2024 00:00,1
hearts,قُلُوب,18/06/2024 00:00,1,18/06/2024 00:00,1
answer,جَوَاب,18/06/2024 00:00,1,18/06/2024 00:00,1
revolution,ثَوْرَة,18/06/2024 00:00,1,18/06/2024 00:00,1
as well,كذلك,18/06/2024 00:00,1,18/06/2024 00:00,1
refuge,لُجُوء,18/06/2024 00:00,1,18/06/2024 00:00,1
swimming pools,مَسَابِح,18/06/2024 00:00,1,18/06/2024 00:00,1
minds,عُقُول,18/06/2024 00:00,1,18/06/2024 00:00,1
Austria,النَّمْسَا,18/06/2024 00:00,1,18/06/2024 00:00,1
nickname,لَقَب,18/06/2024 00:00,1,18/06/2024 00:00,1
endings,نِهَايَات,18/06/2024 00:00,1,18/06/2024 00:00,1
rock,صَخْر,18/06/2024 00:00,1,18/06/2024 00:00,1
sons,أَبْنَاء,18/06/2024 00:00,1,18/06/2024 00:00,1
blessed,مُبَارَك,18/06/2024 00:00,1,18/06/2024 00:00,1
air/wind,هَوَاءْ,18/06/2024 00:00,1,18/06/2024 00:00,1
words,كَلِمَات,18/06/2024 00:00,1,18/06/2024 00:00,1
you love (f),تُحِبَّينَ,18/06/2024 00:00,1,18/06/2024 00:00,1
ivory,عَاج,18/06/2024 00:00,1,18/06/2024 00:00,1
I run,بَرْكُضُ,18/06/2024 00:00,1,18/06/2024 00:00,1
game/toy,لُعبة,18/06/2024 00:00,1,18/06/2024 00:00,1
hospital,مُسْتَشْفَى,18/06/2024 00:00,1,18/06/2024 00:00,1
she knew,عَرَفَتْ,18/06/2024 00:00,1,18/06/2024 00:00,1
both,التْنَين,18/06/2024 00:00,1,18/06/2024 00:00,1
tomorrow,غَدًا,18/06/2024 00:00,1,18/06/2024 00:00,1
walls,حِيطَان,18/06/2024 00:00,1,18/06/2024 00:00,1
black,أَسْوَد,18/06/2024 00:00,1,18/06/2024 00:00,1
for sure/of course,أَكِيد,18/06/2024 00:00,1,18/06/2024 00:00,1
worms,دُود,18/06/2024 00:00,1,18/06/2024 00:00,1
clean,نَضِيف,18/06/2024 00:00,1,18/06/2024 00:00,1
days,أَيَّام,18/06/2024 00:00,1,18/06/2024 00:00,1
there,هِنِيك,18/06/2024 00:00,1,18/06/2024 00:00,1
I painted,رَسَمْتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
article,مَقَالَة,18/06/2024 00:00,1,18/06/2024 00:00,1
to the house,عَالبَيت,18/06/2024 00:00,1,18/06/2024 00:00,1
hay,تِبْن,18/06/2024 00:00,1,18/06/2024 00:00,1
wish the same unto you (used when someone congratulates,عَقْبَالَك,18/06/2024 00:00,1,18/06/2024 00:00,1
carpet,سَجَّادَةْ,18/06/2024 00:00,1,18/06/2024 00:00,1
Morocco,الْمَغْرِب,18/06/2024 00:00,1,18/06/2024 00:00,1
levels,مُسْتَوَيَات,18/06/2024 00:00,1,18/06/2024 00:00,1
berry,تُوتَة,18/06/2024 00:00,1,18/06/2024 00:00,1
unclear,مِش وَاضِح,18/06/2024 00:00,1,18/06/2024 00:00,1
I hurry,بَعْجَلُ,18/06/2024 00:00,1,18/06/2024 00:00,1
I swam,سَبَحْتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
lemon,لَيْمُونَة,18/06/2024 00:00,1,18/06/2024 00:00,1
pilots (f),طَيَّارَات,18/06/2024 00:00,1,18/06/2024 00:00,1
bladder,مَثَانَة,18/06/2024 00:00,1,18/06/2024 00:00,1
head,رَاس,18/06/2024 00:00,1,18/06/2024 00:00,1
bananas,مَوْز,18/06/2024 00:00,1,18/06/2024 00:00,1
I am eating,عَمّ بَآكُلُ,18/06/2024 00:00,1,18/06/2024 00:00,1
which (m),أَنُو,18/06/2024 00:00,1,18/06/2024 00:00,1
knives,سَكَاكِين,18/06/2024 00:00,1,18/06/2024 00:00,1
drawing/painting,رَسْمَة,18/06/2024 00:00,1,18/06/2024 00:00,1
old,قَدِيم,18/06/2024 00:00,1,18/06/2024 00:00,1
level,مُسْتَوَى,18/06/2024 00:00,1,18/06/2024 00:00,1
tennis,تِنِس,18/06/2024 00:00,1,18/06/2024 00:00,1
flags,أَعْلَام,18/06/2024 00:00,1,18/06/2024 00:00,1
to hope,تَأَمَّلَ,18/06/2024 00:00,1,18/06/2024 00:00,1
other than/un-/not-,مِش,18/06/2024 00:00,1,18/06/2024 00:00,1
I swim,بَسْبَح,18/06/2024 00:00,1,18/06/2024 00:00,1
